Equipment_Record_ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
EQR-D4000FAEF2,M,298.8,308.5,1457,47.7,194
EQR-60C007F9EB,M,301.4,310.9,1325,50.5,187
EQR-B287811D22,L,297.8,308.2,1572,37.4,200
EQR-9FE425FBB7,L,297.1,308.2,1578,36.6,5
EQR-42CE9C47A0,M,300.9,308.6,1732,27.7,120
EQR-E0EF5FA186,M,301.8,310.8,1613,33.2,2
EQR-E6D5E76CB5,L,300.2,310.1,1701,23.3,143
EQR-EAD81AAAAE,M,296.8,307.2,1449,41.3,3
EQR-0C8893AE60,M,301.2,310.2,1647,27.5,3
EQR-1A44C82411,L,299.5,309.9,1528,40.9,11
EQR-2507C80F36,L,301.8,311.4,1395,45.2,169
EQR-DF63099A8B,L,300.5,310.1,1386,45.2,151
EQR-983A06B551,M,301.5,311.7,1823,27.3,115
EQR-5672000800,M,299.7,310.8,1570,31.2,99
EQR-7DBECC14BC,L,300.8,311.5,1469,42.9,42
EQR-C93787941E,H,301.1,310.4,1483,40.0,203
EQR-311D284A85,M,298.2,308.9,1635,37.1,84
EQR-A862F1C40A,L,298.0,308.0,1409,45.9,71
EQR-4B95EDA602,L,297.9,308.5,1444,43.5,81
EQR-EBE714368C,L,297.5,308.6,1863,30.4,145
EQR-A4B19585E5,L,301.5,311.5,1320,55.4,193
EQR-64AC6F260B,M,298.0,309.5,1257,61.4,31
EQR-646FA9C012,L,302.4,312.8,1501,39.0,95
EQR-B5A6844563,M,298.2,307.8,1640,38.0,0
EQR-BFA75F9618,L,300.5,309.1,1580,35.2,114
EQR-B7FB40923E,L,299.2,310.8,1641,30.5,244
EQR-C69F5FC8D2,M,298.0,308.6,1428,43.4,163
EQR-1F0DC96A55,M,298.4,309.6,1699,25.8,113
EQR-D9DE192EAC,L,301.3,311.3,2032,20.5,147
EQR-E5979F9CA3,M,300.1,309.0,1421,47.8,152
EQR-E2FFCAB653,M,298.5,309.0,1841,29.2,146
EQR-D12DBC2BDD,L,298.1,308.7,1416,47.7,134
EQR-4BAF89175A,M,302.5,311.8,1323,62.0,215
EQR-F986CE7724,L,299.7,310.3,1446,40.8,168
EQR-7F8A494A38,L,301.5,312.3,1282,63.5,178
EQR-DD0325EE18,L,297.7,308.0,1453,48.0,120
EQR-BBD2A1CC5A,L,296.3,307.9,1473,40.7,177
EQR-4135EBCD8A,L,299.0,308.5,1397,49.6,110
EQR-30C1D94ACE,H,295.6,307.2,1457,41.8,204
EQR-3E804AA01C,L,298.9,308.9,1802,30.1,181
EQR-722918FF9F,L,301.4,311.2,1683,36.0,160
EQR-994754E6B5,H,303.4,312.7,1366,50.5,206
EQR-24DE699F68,L,303.7,312.8,1705,21.3,86
EQR-617FD384C5,H,302.2,311.6,1399,47.6,195
EQR-E9D75023FB,M,299.9,310.1,1506,41.3,88
EQR-5CA1385C0F,M,302.5,311.1,1751,24.7,201
EQR-54737A3D31,M,298.0,309.4,1544,34.0,7
EQR-F0ABAF0C16,L,302.5,312.3,1560,36.0,212
EQR-82567A99D8,L,300.2,308.9,1378,46.0,129
EQR-6368B8571D,M,297.4,308.5,1575,33.6,170
EQR-798E6DECFB,H,297.9,309.3,1409,43.5,96
EQR-FD82C04A67,L,298.4,308.8,1278,62.0,8
EQR-BE7E0CF5C1,L,298.9,308.0,1541,35.9,142
EQR-8159F5C8A0,L,297.4,308.0,1541,38.6,18
EQR-1E0B532150,L,300.6,309.4,1660,32.3,147
EQR-02A5E879E9,M,301.5,311.4,1469,45.4,144
EQR-715DA7811A,L,299.6,309.9,1672,35.6,134
EQR-8A35533ADA,L,304.2,313.4,1710,30.2,189
EQR-2B350573AC,L,303.3,313.1,1815,26.0,73
EQR-2A29F33077,M,297.7,308.2,1596,41.7,200
EQR-EC3413993A,M,298.4,308.6,1611,37.5,101
EQR-F505DF390F,M,298.7,309.2,1398,44.1,164
EQR-00C78DF03D,M,298.5,309.0,1495,38.6,202
EQR-7F8E2530DE,L,301.6,310.2,1663,35.8,95
EQR-801A333ED3,L,297.1,307.7,1608,35.4,203
EQR-0EEC536185,L,297.3,308.0,1618,37.2,99
EQR-BA840B0E92,L,300.2,310.7,1431,48.0,139
EQR-D47BA1812B,M,301.3,310.8,1378,51.1,97
EQR-00FE3C4C23,L,295.8,307.5,1476,40.3,98
EQR-65E14A9D71,L,301.7,310.2,1734,26.5,141
EQR-E66C2400D9,M,303.2,311.7,1502,34.3,39
EQR-5B18F69F50,L,298.7,310.1,1378,48.2,150
EQR-867F992CC5,L,303.7,313.3,1461,43.0,99
EQR-422F4C76F7,M,299.7,308.9,1402,49.4,86
EQR-317C15FEEB,L,299.8,310.7,1499,45.7,55
EQR-27A5698A98,L,300.3,312.2,1395,53.4,196
EQR-D9FCB4ED98,L,299.9,309.1,1483,39.7,105
EQR-D50E01E20B,L,301.6,310.5,1478,39.8,140
EQR-05325E2EE9,M,295.5,306.6,1382,47.2,124
EQR-900DBE1FFC,L,300.2,310.6,1543,38.2,135
EQR-4C2D0E753D,L,301.9,311.3,1513,40.7,103
EQR-C81ED10A8F,M,298.3,308.1,1740,29.8,0
EQR-98897739FE,H,297.4,307.7,1669,34.9,200
EQR-96F0364E69,L,303.4,313.0,1515,47.0,25
EQR-75553F8BEE,L,299.2,309.4,1574,36.2,67
EQR-BDEB5E8865,L,297.4,308.7,1388,49.8,169
EQR-F9EEA2FA02,M,301.7,312.4,1523,36.8,49
EQR-65CCE7D180,M,300.2,310.7,1532,37.9,199
EQR-1F23024BA5,L,296.2,307.3,1585,31.6,71
EQR-6FAD8B174A,L,302.5,311.9,1443,43.6,105
EQR-EDB84514D7,M,300.5,309.3,1627,28.9,50
EQR-6BE7186730,L,303.8,312.3,1423,44.6,199
EQR-FD317EFD40,M,298.1,308.4,1474,37.2,146
EQR-5BB60884C9,L,298.4,309.7,1677,28.5,47
EQR-54799AEE5E,L,302.3,311.0,1450,40.2,183
EQR-484AB704D9,M,300.6,310.3,1372,54.1,37
EQR-17780A31AF,M,299.7,310.9,1436,51.1,105
EQR-C0026A7204,L,302.3,312.9,1405,41.2,21
EQR-4F91DCB408,L,302.8,311.0,1740,33.5,153
EQR-875ABF52D6,M,300.4,311.6,1276,69.0,85
EQR-8C898527A6,L,300.4,309.8,1587,32.8,17
EQR-432D9B00A2,L,301.3,311.1,2564,16.4,173
EQR-B9AC56C8B7,M,300.2,310.1,1697,33.7,43
EQR-0BC3EF9540,L,298.6,308.0,1545,42.3,166
EQR-3E758C3FF3,L,302.2,311.3,1461,39.7,225
EQR-23571277B9,L,298.2,308.9,1367,48.1,112
EQR-76239CB951,M,302.8,310.0,1723,39.9,124
EQR-84CED44082,L,300.3,310.3,1443,46.3,135
EQR-B27ACD193F,H,295.9,306.6,1418,46.7,184
EQR-5C940186F7,M,298.8,308.6,1429,48.3,192
EQR-9CD7C7B1EF,H,302.3,311.6,1467,41.0,23
EQR-B06FCFE8DD,L,297.9,309.7,1698,33.9,160
EQR-6C35E95DF4,M,297.8,308.9,1451,37.4,110
EQR-34D8672E5A,M,298.3,308.4,1380,50.8,139
EQR-4B6E278F58,M,302.4,311.4,1463,43.1,61
EQR-75715FB4FA,L,302.0,312.2,1294,65.1,18
EQR-D49F68FB8B,L,299.0,310.1,1343,56.9,115
EQR-7E7C8785B2,M,302.1,312.2,1447,39.2,80
EQR-F2E28749F9,L,303.9,312.6,1534,46.5,163
EQR-32FF9DFF24,M,298.9,309.7,1270,58.7,221
EQR-E917F265A9,H,300.6,309.7,1443,37.5,94
EQR-D7D518A2EE,M,303.3,312.1,1378,57.8,120
EQR-D216D66058,M,295.9,307.4,1394,51.5,146
EQR-9D4502B611,L,301.3,312.9,1459,37.6,190
EQR-D7F12E60F7,H,300.8,310.1,1592,34.6,188
EQR-776A5B0181,M,298.7,309.0,1304,54.3,149
EQR-C1F5B9A3DF,L,296.6,307.8,1616,30.9,49
EQR-2DB9A83EF3,L,299.1,309.1,1442,41.1,251
EQR-275B8BB423,L,300.1,310.7,1482,50.1,182
EQR-51FCF6E688,M,303.3,311.7,1260,63.9,217
EQR-A85FBA46D7,M,302.0,310.3,1347,54.6,93
EQR-F1268B4570,L,298.0,307.9,1706,35.3,107
EQR-3B8C69597C,L,302.3,311.1,1791,23.2,71
EQR-D8CD55FAC5,L,297.4,307.9,1465,43.9,51
EQR-D365E6575A,L,301.2,309.9,1461,45.1,17
EQR-7A53F7C56B,M,299.3,311.0,1549,43.2,80
EQR-1A1DB28A37,L,299.0,309.4,1695,36.5,182
EQR-8AF71E11E1,M,299.3,310.9,1541,40.9,40
EQR-272D42EC19,H,300.9,311.6,2029,17.0,136
EQR-BA6BF40CF2,M,303.0,312.3,1526,37.8,33
EQR-1EC8A55B63,L,301.9,311.1,1807,22.3,185
EQR-70566CDB7E,L,298.4,310.9,1563,36.0,25
EQR-9C37BC1CBF,M,302.3,312.7,1543,34.7,154
EQR-A8A897EF16,L,302.4,311.7,1660,37.6,179
EQR-53BF104BB1,L,302.9,312.1,1440,44.5,15
EQR-F9AB568DA4,M,303.5,310.6,1331,53.3,180
EQR-17A5B55F2D,H,297.5,308.9,1583,36.0,189
EQR-DBE9EB3A77,M,303.2,313.2,1542,35.8,158
EQR-E8C0967AD5,M,300.1,310.4,1835,25.2,105
EQR-816E0FC4E3,M,302.8,312.9,1666,30.6,129
EQR-4906B29139,M,302.4,311.7,1373,57.8,32
EQR-B87CA9D983,L,296.6,306.0,1559,41.8,200
EQR-2F65869A0C,M,303.4,311.7,1543,35.7,199
EQR-91D04C8A07,M,301.8,310.8,1564,38.6,29
EQR-8D51067CD4,H,298.8,310.0,1641,31.6,215
EQR-E18F0469AF,L,298.2,308.0,1396,57.7,22
EQR-A4E273A4AA,M,300.4,311.2,1364,52.7,79
EQR-77ABA18773,L,297.2,307.2,1517,33.4,5
EQR-6961B8261C,L,296.9,307.8,1635,35.8,90
EQR-F60E55CD0A,L,299.0,310.3,1472,43.8,33
EQR-96FFE8F602,M,303.5,311.8,1748,19.8,211
EQR-2664A0AA3F,H,298.8,310.6,1582,36.4,99
EQR-E82C23EFFC,H,299.0,308.8,2141,19.6,198
EQR-364085AF0B,M,298.8,310.4,1525,42.5,177
EQR-641D7C2A36,M,297.8,308.5,1340,52.9,50
EQR-2B4008907A,M,298.4,308.7,1422,46.7,47
EQR-D5616FC016,L,297.9,309.8,1568,28.1,136
EQR-58324F7C42,L,300.1,310.5,1366,51.1,86
EQR-CBFB2A6131,L,298.7,309.5,1400,44.1,153
EQR-FAF4CF9C13,L,297.5,308.3,1308,59.0,178
EQR-5A56BFB805,H,298.5,308.4,1523,47.3,77
EQR-D471924C62,L,297.4,307.9,1496,28.1,91
EQR-C30DBC83BD,L,300.2,310.7,1423,47.2,183
EQR-4E4123E301,M,303.3,312.6,1621,31.8,159
EQR-AAFAA0F9A1,L,299.6,310.7,1349,51.0,55
EQR-76209FA290,L,303.9,312.4,1623,34.8,98
EQR-E9A458FCF8,L,300.1,309.3,1483,34.6,155
EQR-5C49957B14,L,298.8,310.0,1329,54.9,110
EQR-3197A7AFCB,M,298.0,308.3,1494,38.8,183
EQR-4C0334BB13,M,301.7,310.8,1251,67.3,56
EQR-4172856C20,L,297.0,307.8,1323,55.1,54
EQR-13E7EB0139,M,299.7,309.7,1274,62.4,83
EQR-00B1260324,L,298.4,308.9,1468,37.3,76
EQR-9FA255B46D,L,296.9,308.0,1480,40.3,117
EQR-416F64E6C9,L,300.3,311.0,1577,37.9,146
EQR-8A872A49DC,L,299.1,309.5,1357,49.1,19
EQR-E71629D469,L,301.4,310.9,1352,52.7,70
EQR-2132218AB1,L,297.1,308.7,1601,39.9,179
EQR-672A6C8710,M,298.7,307.8,1498,47.3,132
EQR-636925B33D,L,297.1,307.5,1447,44.7,96
EQR-D28A869BD5,M,300.4,311.4,1547,35.3,171
EQR-A19DD31B42,L,299.9,310.6,1626,37.2,207
EQR-EF3EEB5DEF,L,297.1,307.5,1451,47.9,148
EQR-E40BC64E09,M,298.6,309.7,1589,35.4,160
EQR-DF0D9A31EF,M,299.2,310.3,1422,48.0,67
EQR-F69EC1F95F,M,302.0,310.5,1491,45.7,79
EQR-DD91A549D3,L,296.2,307.4,1697,27.2,203
EQR-F85E664A95,L,295.6,307.3,1477,37.0,0
EQR-6BBB6DDB4F,L,301.4,311.5,1530,36.2,179
EQR-81ABCB8F14,L,297.8,308.4,1505,38.8,73
EQR-1E152103CB,L,303.8,313.1,1486,46.3,69
EQR-3041ED94A8,L,302.1,311.2,1579,28.7,66
EQR-9D31202D72,L,300.6,309.4,1433,46.8,174
EQR-76BF5A93A2,L,298.2,308.3,1359,56.4,208
EQR-E661916844,L,298.0,308.6,2695,18.2,181
EQR-459865FEB4,L,297.4,308.6,1402,45.8,167
EQR-F6F5BBBD5E,L,301.0,311.0,1301,65.2,6
EQR-81558BFB47,L,300.6,309.1,1359,58.3,113
EQR-7A68E0EC98,L,298.2,307.6,1567,31.3,193
EQR-29B0AC8F61,M,299.1,309.9,1708,30.5,103
EQR-934E8BC0C4,L,301.2,311.0,1627,38.3,185
EQR-8399D62357,L,298.7,308.6,1378,50.9,197
EQR-D7C77682D1,L,298.8,308.5,1579,28.9,25
EQR-A08A0EB8B4,L,299.0,308.6,1609,38.6,59
EQR-58DC29D2BD,M,298.9,308.7,1230,66.5,103
EQR-39BFB1B2AB,L,300.8,311.3,1609,30.5,197
EQR-03242B819C,L,300.6,311.1,1944,29.9,14
EQR-3424CF3D14,L,299.4,309.6,1439,45.6,131
EQR-6AE6DB9A82,M,300.3,310.4,1987,25.6,183
EQR-AD3321C200,L,300.9,310.6,1983,19.8,32
EQR-B3208D11EA,L,298.6,310.0,1567,35.0,201
EQR-E3E7E7E51D,L,296.8,306.1,1420,46.3,155
EQR-CBA5E97995,H,299.3,310.9,1732,28.5,147
EQR-D743C775FD,L,297.2,307.4,1730,33.0,181
EQR-5717F243EB,M,299.2,310.4,1448,47.9,57
EQR-2B0B550D96,L,298.7,309.4,1737,28.5,91
EQR-65814EEC53,L,300.4,309.6,1602,39.3,215
EQR-5F385E2179,M,299.0,309.5,1620,32.8,103
EQR-55B0A066E4,M,298.6,308.7,1412,47.3,72
EQR-E69FB7CD1B,H,299.9,309.3,1394,49.0,89
EQR-55BDB3F129,L,297.0,306.2,1461,44.7,176
EQR-BF4CA34133,L,300.7,310.7,1409,42.8,46
EQR-EAC2EBD560,M,302.5,311.4,1626,36.9,179
EQR-05836F1154,L,301.2,309.7,1439,43.6,97
EQR-95FB247106,M,297.9,308.3,1744,26.3,170
EQR-2D265F284F,L,297.0,307.6,1316,56.5,132
EQR-18D8FD5283,L,299.0,310.1,1653,32.2,124
EQR-04E14E6ADE,L,301.3,311.1,1594,40.0,49
EQR-4CA90973D4,H,301.7,310.6,1364,57.2,158
EQR-6BA39C0D3D,M,298.9,308.0,1711,35.3,92
EQR-70BC172D1A,M,303.8,313.2,1485,46.9,124
EQR-A3A5CCA5E4,H,297.9,309.5,1546,32.0,10
EQR-7F6622BFE3,L,298.7,309.4,1915,31.2,121
EQR-901729FF04,L,301.0,309.0,1407,45.3,222
EQR-7A47F50D45,L,297.0,308.2,1528,38.2,0
EQR-C278F63105,M,302.3,310.6,1598,39.9,71
EQR-C04C279C20,M,295.3,305.9,1440,43.8,146
EQR-425AEB31A0,L,300.1,310.8,1620,39.8,193
EQR-34E4BB9032,L,297.9,308.6,1441,41.1,106
EQR-2A4874030D,L,298.5,308.7,1511,39.0,74
EQR-0F53F2911B,M,300.4,308.9,1524,36.7,94
EQR-C8882ED91D,M,300.7,309.4,1742,31.9,92
EQR-BF6A68F8AB,L,298.8,309.6,1611,38.9,97
EQR-44542969CC,L,298.1,308.9,1465,41.7,66
EQR-7062AF7A04,L,298.5,309.7,1365,53.5,21
EQR-3555798F2B,L,300.6,309.6,1495,40.8,127
EQR-38DB0E5ED3,L,297.4,309.2,1450,43.0,83
EQR-D8B4B5F165,L,298.3,307.8,1365,53.5,156
EQR-90149955CB,L,298.9,309.0,1473,45.8,131
EQR-998A0589D5,L,298.2,310.5,1574,39.4,215
EQR-55BCF6F30B,L,298.7,308.3,1530,39.2,142
EQR-D07159ED24,H,302.6,311.9,1637,36.5,5
EQR-DA8159DD29,L,300.0,310.1,1430,43.5,108
EQR-9AA9064C89,L,300.4,310.9,1691,33.0,43
EQR-C3E2797156,H,301.1,310.8,1692,18.7,74
EQR-2AA35F4C34,L,298.5,309.0,1354,49.2,124
EQR-7C82C0CF65,L,297.0,308.0,1442,45.0,177
EQR-ED00D72D77,M,301.6,311.4,1420,44.1,54
EQR-26026AAEAC,M,300.1,309.6,1366,59.7,48
EQR-60A2CADF22,L,299.1,309.3,1628,40.0,72
EQR-FEE1A2CE9C,L,300.8,311.4,1800,24.6,149
EQR-4F84325C03,M,302.1,310.3,1523,44.8,159
EQR-0C6866B025,L,297.7,308.0,1453,40.3,50
EQR-F1520CEBAA,M,299.3,311.2,1348,59.1,166
EQR-CEE88F22FF,L,302.0,310.2,1785,31.0,56
EQR-D2224D24EA,M,297.4,308.7,1521,42.7,54
EQR-0B9C9A1570,L,298.4,309.1,1299,62.5,228
EQR-6B3A8DEDFC,L,301.0,310.1,1802,21.7,125
EQR-E43173AD6D,L,302.3,311.0,1706,24.6,177
EQR-444111738E,L,300.8,310.9,1353,52.2,4
EQR-1BEF9EAA2E,M,300.4,310.7,1563,35.6,14
EQR-12AE971C4D,L,299.1,310.2,1758,37.7,3
EQR-FE239F34C4,M,300.6,308.5,1418,46.5,198
EQR-49F35FAD55,L,298.8,308.9,1683,26.4,130
EQR-95CB4B91E5,L,300.1,310.4,1502,39.9,127
EQR-EA4BA90A12,L,302.3,311.4,1641,31.5,129
EQR-2AB7C25B47,L,302.0,311.3,1724,24.5,4
EQR-CB06E22027,M,298.0,309.4,1437,48.1,50
EQR-C0EEBF23D4,L,299.5,308.5,1428,48.6,122
EQR-812B61690A,L,300.4,311.2,1412,41.9,191
EQR-34BED5BD68,M,298.2,309.3,1500,45.0,24
EQR-40D5A48952,L,300.3,309.9,1456,46.3,100
EQR-94B4110C11,L,300.8,308.7,1542,30.9,56
EQR-FFD0F9A00A,H,298.0,308.8,1671,33.7,60
EQR-617B8E6CE7,L,300.7,310.4,1453,45.3,23
EQR-9700140B20,M,302.4,312.5,1476,42.2,163
EQR-F6EC212151,L,302.6,313.0,1798,34.1,7
EQR-F28F101BC0,L,302.4,311.1,1645,36.2,157
EQR-4573B37CD5,H,296.8,308.0,1379,49.3,96
EQR-F7102B8D04,L,302.3,312.7,1335,56.4,12
EQR-22AE5DF7BB,L,298.0,309.2,1903,28.0,126
EQR-8BA37F11CF,L,301.5,311.4,1681,28.2,119
EQR-829ABF3B48,L,299.1,309.2,1569,33.3,76
